Area,Name,Votes
5. Øst,Martin Schepelern,22
5. Vest,Navn,Personlige stemmer
5. Vest,Mia Nyegaard,47
5. Vest,Christopher Røhl,32
5. Vest,Mette Annelie Rasmussen,62
5. Vest,Jes Vissing Tiedemann,9
5. Vest,Katrine Kildgaard,55
5. Vest,Sally Khallash,5
5. Vest,Jino Victoria Doabi,22
5. Vest,Dan Kreutzfeldt,8
5. Vest,Lartey Lawson,13
5. Vest,Emil Moselund,45
5. Vest,Kashif Ahmad,12
5. Vest,Emil Sloth Andersen,32
5. Vest,Kim Mandix,3
5. Vest,Hanne Kofoed,6
5. Vest,Martin Schepelern,13
5. Nordvest,Navn,Personlige stemmer
5. Nordvest,Mia Nyegaard,105
5. Nordvest,Christopher Røhl,74
5. Nordvest,Mette Annelie Rasmussen,76
5. Nordvest,Jes Vissing Tiedemann,25
5. Nordvest,Katrine Kildgaard,86
5. Nordvest,Sally Khallash,19
5. Nordvest,Jino Victoria Doabi,23
5. Nordvest,Dan Kreutzfeldt,10
5. Nordvest,Lartey Lawson,37
5. Nordvest,Emil Moselund,87
5. Nordvest,Kashif Ahmad,21
5. Nordvest,Emil Sloth Andersen,58
5. Nordvest,Kim Mandix,8
5. Nordvest,Hanne Kofoed,12
5. Nordvest,Martin Schepelern,17
6. Bispebjerg,Navn,Personlige stemmer
6. Bispebjerg,Mia Nyegaard,38
6. Bispebjerg,Christopher Røhl,43
6. Bispebjerg,Mette Annelie Rasmussen,56
6. Bispebjerg,Jes Vissing Tiedemann,7
6. Bispebjerg,Katrine Kildgaard,86
6. Bispebjerg,Sally Khallash,14
6. Bispebjerg,Jino Victoria Doabi,42
6. Bispebjerg,Dan Kreutzfeldt,82
6. Bispebjerg,Lartey Lawson,25
6. Bispebjerg,Emil Moselund,61
6. Bispebjerg,Kashif Ahmad,43
6. Bispebjerg,Emil Sloth Andersen,31
6. Bispebjerg,Kim Mandix,7
6. Bispebjerg,Hanne Kofoed,3
6. Bispebjerg,Martin Schepelern,21
6. Nord,Navn,Personlige stemmer
6. Nord,Mia Nyegaard,45
6. Nord,Christopher Røhl,23
6. Nord,Mette Annelie Rasmussen,33
6. Nord,Jes Vissing Tiedemann,5
6. Nord,Katrine Kildgaard,34
6. Nord,Sally Khallash,8
6. Nord,Jino Victoria Doabi,11
6. Nord,Dan Kreutzfeldt,12
6. Nord,Lartey Lawson,20
6. Nord,Emil Moselund,27
6. Nord,Kashif Ahmad,23
6. Nord,Emil Sloth Andersen,29
6. Nord,Kim Mandix,4
6. Nord,Hanne Kofoed,2
6. Nord,Martin Schepelern,2
6. Øst,Navn,Personlige stemmer
6. Øst,Mia Nyegaard,17
6. Øst,Christopher Røhl,7
6. Øst,Mette Annelie Rasmussen,17
6. Øst,Jes Vissing Tiedemann,2
6. Øst,Katrine Kildgaard,22
6. Øst,Sally Khallash,5
6. Øst,Jino Victoria Doabi,14
6. Øst,Dan Kreutzfeldt,8
6. Øst,Lartey Lawson,9
6. Øst,Emil Moselund,21
6. Øst,Kashif Ahmad,11
6. Øst,Emil Sloth Andersen,4
6. Øst,Kim Mandix,4
6. Øst,Hanne Kofoed,1
6. Øst,Martin Schepelern,11
6. Syd,Navn,Personlige stemmer
6. Syd,Mia Nyegaard,49
6. Syd,Christopher Røhl,55
6. Syd,Mette Annelie Rasmussen,36
6. Syd,Jes Vissing Tiedemann,18
6. Syd,Katrine Kildgaard,67
6. Syd,Sally Khallash,15
6. Syd,Jino Victoria Doabi,27
6. Syd,Dan Kreutzfeldt,79
6. Syd,Lartey Lawson,25
6. Syd,Emil Moselund,70
6. Syd,Kashif Ahmad,26
6. Syd,Emil Sloth Andersen,34
6. Syd,Kim Mandix,7
6. Syd,Hanne Kofoed,7
6. Syd,Martin Schepelern,13
7. Brønshøj,Navn,Personlige stemmer
7. Brønshøj,Mia Nyegaard,37
7. Brønshøj,Christopher Røhl,15
7. Brønshøj,Mette Annelie Rasmussen,21
7. Brønshøj,Jes Vissing Tiedemann,3
7. Brønshøj,Katrine Kildgaard,10
7. Brønshøj,Sally Khallash,5
7. Brønshøj,Jino Victoria Doabi,6
